kaite 凯特
qiuqiurenxisukaocha 丘丘人习俗考察
liewangyuzongshishi 列王与宗室史
guenxierdexiaozhuan 古恩希尔德小传
shicongqishizhige 侍从骑士之歌
tiwateyewaijiujishipu 提瓦特野外救急食谱
jujiedecangbaotu 巨阶的藏宝图
wangyangdecangbaotu 汪洋的藏宝图
hufaxianzhongyechalu 护法仙众夜叉录
jiangmoyin 降魔印
tezhixingrendoufu 特制杏仁豆腐
yiluodebaoguo 遗落的包裹
baiwujinjilu 百无禁忌箓
kelidemupai 可莉的木牌
suimengqizhen 碎梦奇珍
lvxingzhedebiji 旅行者的笔记
xianglu 香炉
qixingdeng 七星灯
duoxingjuechentianjundexin 掇星攫辰天君的信
tezhimengdetudoubing 特制蒙德土豆饼
beicaoshilaimutunxiaquguodeshumei 被草史莱姆吞下去过的树莓
shuishilaimudenonghouningye 水史莱姆的浓厚凝液
beifengshilaimuchuifuguodefengcheju 被风史莱姆吹拂过的风车菊
soujierlaidesuipian 搜集而来的碎片
congshibeishangchaoxialaidewenzi 从石碑上抄下来的文字
congyijizhongchaoxialaidewenzi 从遗迹中抄下来的文字
qingcezhicang 轻策之藏
cunyideqiuqiurenyudanju 存疑的丘丘人语单句
timideqinbixin 提米的亲笔信
youmaqiaolituijiandeliwu 由玛乔丽推荐的礼物
laizikunendeliwu 来自昆恩的礼物
shalaxiaojiedetesecanpin 莎拉小姐的特色餐品
keshangdebaoguo 客商的包裹
zhuangzhehuodandehezi 装着货单的盒子
qingquanzhixin 清泉之心
linlingjingxuanshiji 霖铃精选诗集
huowudan 货物单
querenlehuowushuliangdehuowudan 确认了货物数量的货物单
jinwucangjiao 金屋藏娇
shanyinjincu 山阴锦簇
piaomiaoxianyuan 缥缈仙缘
jinwucangjiaojingyou 金屋藏娇精油
shanyinjincujingyou 山阴锦簇精油
piaomiaoxianyuanjingyou 缥缈仙缘精油
baoerdekonghezi 宝儿的空盒子
chenzhongdehezi 沉重的盒子
beishuidashideshuye 被水打湿的书页
jinwucangjiaoxianggao 金屋藏娇香膏
shanyinjincuxianggao 山阴锦簇香膏
piaomiaoxianyuanxianggao 缥缈仙缘香膏
zhuangyouxiaowanyidehezi 装有小玩意的盒子
dichenling 涤尘铃
guizhongjiweihucailiao 归终机维护材料
qimingyuzhihuadeduihuajilu 绮命与志华的对话记录
sisiyuchaoxideduihuajilu 思思与潮汐的对话记录
nuomadingdecanpin 诺玛订的餐品
qiuqiuyushigeshizuo 丘丘语诗歌试作
weierdeliwu 薇尔的礼物
beidaodewenwu 被盗的文物
pinglaolaodehezi 萍姥姥的盒子
beisixialaideshuye 被撕下来的书页
huluantuxiedeshuye 胡乱涂写的书页
yeposhiyangpin 夜泊石样品
yidaimola 一袋摩拉
qiuqiurenbaotuzhanlipin 丘丘人暴徒战利品
daobaotuanzhanlipin 盗宝团战利品
yijishouweizhanlipin 遗迹守卫战利品
yongshengxiang 永生香
jiangudemuban 坚固的木板
zhuangyoushuyedehezi 装有树叶的盒子
daobaotuandeyaoshi 盗宝团的钥匙
ailanidebianqian 爱拉尼的便签
wumingdebaozang 无名的宝藏
zhuixuzhishi 追叙之石
huiandejiezhi 晦暗的戒指
fanmierdehuabi 梵米尔的画笔
fanmierdeyanliao 梵米尔的颜料
heibaidehuagao 黑白的画稿
caisedehuagao 彩色的画稿
wumingdehuagao 无名的画稿
qiguaideshitou 奇怪的石头
xinxiandeqingxin 新鲜的清心
lielurencanguandetechancanpin 猎鹿人餐馆的特产餐品
fuluoladeshuqian 芙萝拉的书签
tianshidekuizengdeteseyinliao 天使的馈赠的特色饮料
tezhixianggao 特制香膏
bohejingyou 薄荷精油
xianmeideshilaimuningye 鲜美的史莱姆凝液
tebietiandetiantianhua 特别甜的甜甜花
xinxiandetiantianhua 新鲜的甜甜花
xinxiandesaixiliyahua 新鲜的塞西莉亚花
xinxiandefengcheju 新鲜的风车菊
xinxiandexiaodengcao 新鲜的小灯草
qiguaidediaojiucailiao 奇怪的调酒材料
laizituokedemoladai 来自托克的摩拉袋
gongziyutuokedemoladai 公子与托克的摩拉袋
baomanderiluoguo 饱满的日落果
shangjiadehaibao 商家的海报
jiayideliwu 嘉义的礼物
daobaotuanchengyuanxiedaideditu 盗宝团成员携带的地图
canpodebiji 残破的笔记
qishituanzhidaoshouce 骑士团指导手册
fulangji 浮浪记
quanyouerfenzhiyi 犬又二分之一
zhulinyueye 竹林月夜
zuikeyishi 醉客轶事
yunzhongxianjudetuzhi 云中仙居的图纸
dijunchenyouji 帝君尘游记
huangshangujianlu 荒山孤剑录
xiaoliudeliwu 小六的礼物
chaoxigeicuierdehuixin 潮汐给翠儿的回信
xiaoyuedeliwu 小月的礼物
yinxingxiegeibolaidexin 银杏写给博来的信
xiaozhaoxiegeijiangzhoudedanju 小昭写给江舟的单据
xiaozhaoxiegeixiaoandedanju 小昭写给小安的单据
cuierxiegeichaoxidexin 翠儿写给潮汐的信
houhoudebiji 厚厚的笔记
jiekededitu 杰克的地图
jiekedemaoxianzhizheng 杰克的冒险之证
laolongyaoshi 牢笼钥匙
tangshuangshilaimu 糖霜史莱姆
yeshengliulibaihe 野生琉璃百合
qiyideyachi 奇异的牙齿
jiquleshengminglidelongya 汲取了生命力的龙牙
gongzhuzhixia 公主之匣
jisizhixia 祭司之匣
jishizhezhixia 记事者之匣
kanqilaihenputongdetiantianhua 看起来很普通的甜甜花
duyanxiaobaowanou 独眼小宝玩偶
xiaoliudexin 小六的信
shiyongguodemuzhuang 使用过的木桩
cucaodebudai 粗糙的布袋
shenmideshiban 神秘的石板
daobaotuandezhenchaqingbao 盗宝团的侦察情报
weikeduodiushidehezi 维克多丢失的盒子
xieyougonggaoneirongdezhitiao 写有公告内容的纸条
jiujingyingxukezheng 旧经营许可证
jingyingchangsuozhengmingjijingyinganquanxunuoshu 经营场所证明及经营安全许诺书
chuhaishenqingpifujian 出海申请批复件
daxuezhuwangderou 大雪猪王的肉
zhujibaokuang 珠玑宝矿
lianxinzhu 连心珠
gulaodekaocharizhi 古老的考察日志
tezhidemengdetudoubing 特制的蒙德土豆饼
tezhidexingrendoufu 特制的杏仁豆腐
tezhidezhenzhufeicuibaiyutang 特制的珍珠翡翠白玉汤
tezhidetiantianhuaniangji 特制的甜甜花酿鸡
tezhidesongrongniangroujuan 特制的松茸酿肉卷
tezhidefeiyushijindai 特制的翡玉什锦袋
tezhidehuohuoroujiangmian 特制的火火肉酱面
tezhideshuizhuheibeilu 特制的水煮黑背鲈
tezhidemolarou 特制的摩拉肉
tezhidezhuangyuankaosongbing 特制的庄园烤松饼
tezhidelailaicai 特制的来来菜
tezhidexiangnenjiaojiaoji 特制的香嫩椒椒鸡
tezhidemengdekaoyu 特制的蒙德烤鱼
tezhidebaochaoroupian 特制的爆炒肉片
tezhidelianziqindangeng 特制的莲子禽蛋羹
tezhideyurentusi 特制的渔人吐司
minglingshu 命令书
jiayidexin 嘉义的信
tongnianfengweixiangnenjiaojiaoji 童年风味香嫩椒椒鸡
hualiwanjuxiang 华丽玩具箱
congzidinggoudefushengshipian 聪子订购的浮生石片
tezhidexiaodeng 特制的霄灯
geluolidepugongyingzi 葛罗丽的蒲公英籽
jigeisailiusidexin 寄给塞琉斯的信
qingzhoudeqianming 清昼的签名
zhuangyouxianhuadebaoguo 装有鲜花的包裹
rongfashangpudedingdanshouju 荣发商铺的订单收据
ganxiexin 感谢信
shiyanyongyaoji 实验用药剂
liuyingjiyinchudehua 留影机印出的画
halisitezhibaizhishishuhuirou 哈里斯特制白汁时蔬烩肉
qiguaidezhitiao 奇怪的纸条
beishuipaoguodehezi 被水泡过的盒子
abenzuodexiaodeng 阿笨做的霄灯
weishumingdemingxiaodeng 未署名的明霄灯
siyudexiaodeng 思妤的霄灯
xingyinkuangchumei 星银矿触媒
aguideyao 阿桂的药
geiqiaoyidexingrendoufu 给乔姨的杏仁豆腐
geizhuyudejinsixiaqiu 给茱萸的金丝虾球
sanfabuxingdeyidaocai 散发不幸的一道菜
yiluodemaoxianjiabiji 遗落的冒险家笔记
huaidiaodexiaodengdengzhao 坏掉的霄灯灯罩
jianyingdetiekuai 坚硬的铁块
jianyingdeshuijingkuai 坚硬的水晶块
hongsegougouguo 红色钩钩果
xinxiandejueyunjiaojiao 新鲜的绝云椒椒
jingxintiaoxuandeliwu 精心挑选的礼物
haidengjielipin 海灯节礼品
chiredepianpianhuami 炽热的骗骗花蜜
wanmintangwaisongcanpin 万民堂外送餐品
qiguaidehezi 奇怪的盒子
daiyoutizidexiaodeng 带有题字的霄灯
tuzhiyangben 土质样本
beishilaimutunxiaquguodedudulian 被史莱姆吞下去过的嘟嘟莲
xinxiandelianpeng 新鲜的莲蓬
muban 木板
xinxiandeshourou 新鲜的兽肉
youzhidilengxianrou 优质的冷鲜肉
fenghuajiefengjinghuapian 风花节风景画片
qimiaoermeilidehua 奇妙而美丽的花
xinxiandeluoluomei 新鲜的落落莓
huoshilaimuningye 火史莱姆凝液
tebiedeshuiping 特别的水瓶
zhenwu 镇物
wubaicangjiaogeinidezhenwu 五百藏交给你的镇物
juanxingdezhenwu 卷形的镇物
yaoxingdezhenwu 钥形的镇物
laojiudeyaoshi 老旧的钥匙
gulaodeshiban 古老的石板
pinzhibucuodepugongyingzi 品质不错的蒲公英籽
pinzhibucuodefengcheju 品质不错的风车菊
tezhiyinpin 特制饮品
qiuqiuyusuchashouce 丘丘语速查手册
zhuqian 竹签
yushenqian 御神签
guijuedeyushenqian 诡谲的御神签
shiyanjiadefengjinghua 誓言岬的风景画
zhaixingyadefengjinghua 摘星崖的风景画
fengqididefengjinghua 风起地的风景画
sailiusixiegeiyuxiadexin 塞琉斯写给玉霞的信
xueshanfengjinghuapian 雪山风景画片
nanshiziwudouhuiguanjunjiangpai 南十字武斗会冠军奖牌
baozhuanghaodejiangcaijianrou 包装好的酱菜煎肉
liliqinshoukaozhidezhuangyuankaosongbing 莉莉亲手烤制的庄园烤松饼
shenmidejiguanlingjian 神秘的机关零件
qianhuangsedeshuijing 浅黄色的水晶
qianhongsedeshuijing 浅红色的水晶
qianlansedeshuijing 浅蓝色的水晶
qianhuangsedeyulin 浅黄色的鱼鳞
qianlansedeyulin 浅蓝色的鱼鳞
qianhongsedeyulin 浅红色的鱼鳞
maofan 猫饭
maowanju 猫玩具
xinxiandeyulin 新鲜的鱼鳞
zaikujingpangzhaodaodeqiandai 在枯井旁找到的钱袋
laoshi 老石
youxiecanpodemuban 有些残破的木板
lveyoufuhuaidemuban 略有腐坏的木板
cuijueyan 翠珏岩
cuihanyansuipian 翠含岩碎片
jiecuixingdezhengmingwenshu 解翠行的证明文书
zongwusibeianwenjian 总务司备案文件
buboludeyaolizhengming 不卜庐的药理证明
xinxiandeshilaimuningye 新鲜的史莱姆凝液
weiweidaodebihua 危危岛的壁画
popodaodebihua 破破岛的壁画
wumingdaoyudebihua 无名岛屿的壁画
shuangshuangdaodebihua 双双岛的壁画
bijiyijingmohudebiji 笔迹已经模糊的笔记
xinxiandeyurou 新鲜的鱼肉
canpodehuopinqingdan 残破的货品清单
shuizhongzhaodaodehuowudai 水中找到的货物袋
wumingxiaodaodebihua 无名小岛的壁画
qingxidejiluhuapian 清晰的记录画片
haisuanqingxidejiluhuapian 还算清晰的记录画片
lveyoumohudejiluhuapian 略有模糊的记录画片
yibabeifeiqidedao 一把被废弃的刀
yihujiu 一壶酒
yibawuzhudedao 一把无主的刀
yidaihuazhong 一袋花种
qiyidehailuo 奇异的海螺
jiangyumingrishiqudexianzheaituoliya 将于明日逝去的贤者埃托莉亚
chengshimaodexiaofanweihuangyan 诚实猫的小范围谎言
wenxuetuan 文学团
xiushideyaoshi 锈蚀的钥匙
jinguidedao 堇鬼的刀
chiguidedao 赤鬼的刀
geichangjiuyedeliwu 给常九爷的礼物
geizhenyudeliwu 给枕玉的礼物
jinshuyaoshi 金属钥匙
zhuzidejiashu 竺子的家书
zijimohudeqian 字迹模糊的签
posundezhitiao 破损的纸条
huameidesichou 华美的丝绸
kaomogupisa 烤蘑菇披萨
maoshifutezhixiangnenjiaojiaoji 卯师傅特制香嫩椒椒鸡
xianglingdeshouchaobiji 香菱的手抄笔记
fanhuangdexinjian 泛黄的信件
waxideniezhidefantuan 瓦希德捏制的饭团
zhangyeyuanyanhuadiandezhitiao 长野原烟花店的纸条
yulingzhu 御灵珠
yueyuyuanzhiyao 月浴渊之钥
qitedeshuiping 奇特的水瓶
baohanyuanwangdeshui 饱含愿望的水
lingcaosuoxudeshui 灵草所需的水
lincangdexin 林藏的信
lincangdehuiji 林藏的徽记
beicangnidezhangben 被藏匿的账本
mulouchashiyaoqinghan 木漏茶室邀请函
sihushiyifengqingxin 似乎是一封情信
beizhushuderou 被煮熟的肉
mourenliuxiadezhitiao 某人留下的纸条
lvedaixiangweideshuxin 略带香味的书信
tongxingpingzheng 通行凭证
jiutiaolianzhideqinbixin 九条镰治的亲笔信
dianxinhe 点心盒
andanyupei 暗淡御辔
yupei 御辔
xiajiandesushengzhipeisuipian 狭间的苏生之辔碎片
miaoqiandesushengzhipeisuipian 庙前的苏生之辔碎片
shexindesushengzhipeisuipian 蛇心的苏生之辔碎片
sushengzhipei 苏生之辔
xiajiandegongfeng 狭间的供奉
miaoqiandegongfeng 庙前的供奉
shexindegongfeng 蛇心的供奉
changshiguolongshechuan 常世国龙蛇传
shenhailongxishiyanjilu 深海龙蜥实验记录
riyueqianshi 日月前事
baiyeguodilishuiwenkao 白夜国地理水文考
guangzhouyingdiji 光昼影底集
jianwen 键纹
xuezhishanhu 血枝珊瑚
shenyuzhipei 神舆之辔
yidaderenkezhuang 伊达的认可状
mishiyaoshi 密室钥匙
wangchuanzhishui 忘川之水
longguhuaningzhu 龙骨花凝珠
tongwangmouchudeyaoshi 通往某处的钥匙
shaigandetiantianhua 晒干的甜甜花
qitedeyumao 奇特的羽毛
muhuangdi 木簧笛
beisuishenyingxiangdeguidouchong 被祟神影响的鬼兜虫
yishidelingjian 遗失的零件
wuxiangrenxiajian 无想刃狭间
sheshenzhishou 蛇神之首
shegukuangdong 蛇骨矿洞
wumingzhai 无明砦
mingcaodezhongzi 鸣草的种子
youzhilengxianrou 优质冷鲜肉
retengtengdehonghuishourou 热腾腾的红烩兽肉
yifengjiaxin 一封家信
canpodexinjian 残破的信笺
yaoshidebijiben 药师的笔记本
kaifengdexinjian 开封的信笺
ruxingdebaozhu 如星的宝珠
shiban 石板
shenjudaobengpaoweizhitu 神居岛崩炮位置图
mimibiji 秘密笔记
youzhidaomi 优质稻米
qingxiangdemifanbuding 清香的米饭布丁
beifengshilaimutunxiaguodezhusun 被风史莱姆吞下过的竹笋
retengtengdewenxindoufu 热腾腾的文心豆腐
zhuangzhehuashidedaizi 装着化石的袋子
baokudeyaoshi 宝库的钥匙
canquedebiji 残缺的笔记
polandezhitiao 破烂的纸条
qinglaidaodejiluhuapian 清籁岛的记录画片
tengyuanjunzidebaotu 藤原俊子的宝图
yidaidouzi 一袋豆子
congyoucepaishedehuapian 从右侧拍摄的画片
congzuocepaishedehuapian 从左侧拍摄的画片
chengsejiaochadexingyinkuangshi 成色较差的星银矿石
chengsejiaohaodexingyinkuangshi 成色较好的星银矿石
yaoshi 钥匙
zhuangyifudefanghe 装衣服的方盒
huanxiangwuyu 鹮巷物语
tongxingzhengming 通行证明
tuanziniunai 团子牛奶
dongtianguandie 洞天关牒
teshudefeiyingxiuqiu 特殊的绯樱绣球
shenghuozaileiyingshupangdepangxie 生活在雷樱树旁的螃蟹
xinxiandehaicao 新鲜的海草
pangxieyouer 螃蟹诱饵
xinxiandefeiyingxiuqiu 新鲜的绯樱绣球
xinxiandejinyucao 新鲜的金鱼草
xinxiandeniaodan 新鲜的鸟蛋
xinxiandemogu 新鲜的蘑菇
xinliuhuchuan 新六狐传
shanhugongji 珊瑚宫记
hamawalanzhanji 哈玛瓦兰战记
chenqiushijianlu 沉秋拾剑录
shenyingdafuyaolve 神樱大祓要略
mingshendashedeyushou 鸣神大社的御守
tianlingfengxingshangzougongwen 天领奉行上奏公文
tianlingfengxingdemixin 天领奉行的密信
tedahaoyanhua 特大号烟花
teshudemojingkuang 特殊的魔晶矿
kuangzha 矿渣
wangguodemeinaiji 亡国的美奈姬
feixieerhuangnvyetan 菲谢尔皇女夜谭
zhuangyouxinjiandepiaoliuping 装有信件的漂流瓶
guiwudao 鬼武道
zhaoyunyushou 招运御守
yihedingzi 一盒钉子
shengzi 绳子
muhudexiangbao 木户的香包
cangbaotudesuipian 藏宝图的碎片
liugeichigadecangbaotu 留给岻伽的藏宝图
mulidehushenfu 牧梨的护身符
tongyongxingdingxiangchuandaoyuanjian 通用型定向传导元件
chenzhongdeyaoshi 沉重的钥匙
wanzhengdeyaoshi 完整的钥匙
motiandexin 墨田的信
xinxingyanhua 新型烟花
beiguoyinhangqianpiao 北国银行钱票
shifenliaocaodecangbaotu 十分潦草的藏宝图
munanxingnaidehuolimiaofan 木南杏奈的活力喵饭
fengyuedeshikuai 逢岳的石块
shanhugongminjianxinyangchukan 珊瑚宫民间信仰初勘
wunvmengyunxiaozhuan 巫女曚云小传
dongwangshibian 东王史辩
zhenshuochengyanzhenyingda 珍说澄研真影打
shenmideshikuai 神秘的石块
xinxiandeqinrou 新鲜的禽肉
yidaihuishoupin 一袋回收品
xiuhaodeshuzi 修好的梳子
mizhichuandan 谜之传单
yanjinderichenganpaibiao 严谨的日程安排表
jianyaoderichenganpaibiao 简要的日程安排表
suixingtiekuang 碎星铁矿
mihuashi 秘华石
qianqihexin 千奇核心
xianjiafulu 仙家符箓
cunzhuangbianqianjilu 村庄变迁记录
shanshizatan 山石杂谈
zijigongzhengdexin 字迹工整的信
xiaomengdepiaoliuping 小蒙的漂流瓶
liumingshi 流明石
muningdezhitiao 沐宁的纸条
cangbaotusuipian 藏宝图碎片
daobaotuandecangbaotu 盗宝团的藏宝图
kufanganquanyaoshi 库房安全钥匙
yizudanwan 一组弹丸
teshudepanshijingyou 特殊的磐石精油
yantingzhiyao 岩厅之钥
qiguaiyanshizhaopian 奇怪岩石照片
jiaolingyuanjujianxin 教令院举荐信
yuanqingbaozhu 渊青宝珠
tiezhideyaoshi 铁制的钥匙
kuanggongdeyaoshi 矿工的钥匙
caihuizhiruiyou 才慧之瑞佑
zhuangyouyinxindekaishanpaopaodan 装有引信的开山炮炮弹
wanjuwawa 玩具娃娃
yuantiaozhihua 远眺之花
gaoxiangzhiling 高翔之翎
suishizhigui 岁时之晷
gongyinzhibei 共饮之杯
biyouzhiguan 庇佑之冠
tongzezhiqiang 同泽之枪
huangtongjiezhi 黄铜戒指
gankudezhongzi 干枯的种子
liumingshiyuankuang 流明石原矿
yuechuandepiaoliuping 岳川的漂流瓶
pingquandehuowu 平泉的货物
laofangdeyaoshi 牢房的钥匙
gangzhaixiadedudulian 刚摘下的嘟嘟莲
gangzhaixiadexiaodengcao 刚摘下的小灯草
gangzhaixiadesaixiliyahua 刚摘下的塞西莉亚花
yijijiguandehexin 遗迹机关的核心
yidadeyaoshi 伊达的钥匙
duifangdejingua 堆放的堇瓜
shanghaodexiang 上好的香
qitedemofang 奇特的魔方
beirensaizaishenshangdezhipian 被人塞在身上的纸片
tezhidezhuqian 特制的竹签
zuizhongzhiling 最终指令
zhuangyifudezhibao 装衣服的纸包
tebiedeyushenqian 特别的御神签
qiguaidewujian 奇怪的物件
panjianweizhishiyitu 磐键位置示意图
qingpiaopiaodemoladai 轻飘飘的摩拉袋
chongshidemoladai 充实的摩拉袋
fengmeideyurou 丰美的鱼肉
zijijuanxiudeliuxin 字迹娟秀的留信
yunjindeqinbixin 云堇的亲笔信
liudaxikadexin 柳达希卡的信
liudaxikademoladai 柳达希卡的摩拉袋
yurenzhonganyubiao 愚人众暗语表
qingpiaopiaodeqiandai 轻飘飘的钱袋
maqiaolideliwu 玛乔丽的礼物
weikeduodeliwu 维克多的礼物
xinxiandegougouguo 新鲜的钩钩果
liudaxikadeqianwen 柳达希卡的签文
liulihanjing 琉璃寒晶
guangjiezhiyin 光界之印
guangjiezhihe 光界之核
ranxuedishiguanhuiji 染血的士官徽记
nigulaxiashidebiji 尼古拉下士的笔记
nigulaxiashiderizhi 尼古拉下士的日志
molaqiandai 摩拉钱袋
mengying 梦樱
yuanhaisuikuang 渊海髓矿
changshizhijia 常世之荚
kezhibaoshi 壳之宝石
posuideshipin 破碎的饰品
aqideditu 阿祇的地图
baoyuanmanguangtianmu 薄缘满光天目
mulongdeyaoshi 木笼的钥匙
posundeshiban 破损的石板
yanbodezitiao 彦博的字条
niguladexin 尼古拉的信
xiangqisiyidetiaoliao 香气四溢的调料
xiangqisiyidesubaoyu 香气四溢的素鲍鱼
gongdijilu 工地记录
xiangqisiyideliangbanbohe 香气四溢的凉拌薄荷
xiangqisiyidekousansi 香气四溢的扣三丝
chenjiudebiji 陈旧的笔记
zhiqiongdexin 志琼的信
daogangshikebiao 到港时刻表
wugexianziliaohuizong 五歌仙资料汇总
gulaodeduanzaotupu 古老的锻造图谱
fengyuanyiqingdexin 枫原义庆的信
taliexindeshigao 塔列辛的诗稿
xiangqisiyideqingchaoxiaren 香气四溢的清炒虾仁
xiangqisiyidejinsixiaqiu 香气四溢的金丝虾球
xiangqisiyideqingcenongjiacai 香气四溢的轻策农家菜
xiangqisiyideshuizhuheibeilu 香气四溢的水煮黑背鲈
xiangqisiyidebaochaoroupian 香气四溢的爆炒肉片
xiangqisiyidekaochihuyu 香气四溢的烤吃虎鱼
xiangqisiyidexiehuangdoufu 香气四溢的蟹黄豆腐
xiangqisiyidehuangjinxie 香气四溢的黄金蟹
xiangqisiyidezhenzhufeicuibaiyutang 香气四溢的珍珠翡翠白玉汤
xiangqisiyideyanduxian 香气四溢的腌笃鲜
xiangqisiyideshanzhenrelumian 香气四溢的山珍热卤面
xiangqisiyidemolarou 香气四溢的摩拉肉
xiangqisiyideganchaoyuhe 香气四溢的干炒鱼河
xiangqisiyidesifangheping 香气四溢的四方和平
xiangqisiyidemiwowo 香气四溢的米窝窝
xiangqisiyidexingrendoufu 香气四溢的杏仁豆腐
xiangqisiyidelianhuasu 香气四溢的莲花酥
zaoyoudegongzidai 早柚的工资袋
yujianmingshenzhuzundayusuodarenxiang 御建鸣神主尊大御所大人像
xinhaidecaigoudan 心海的采购单
huliwanou 狐狸玩偶
zhuangyougongzidebaoguo 装有工资的包裹
mibaosuocangzhihaitu 秘宝所藏之海图
baituolewodehuxiangongsi 拜托了我的狐仙宫司
chisuimibaosuocang 赤穗秘宝所藏
yerancao 耶然草
xuluoxun 须罗蕈
bocanhua 钵参花
lanhema 兰赫玛
jinwudetang 瑾武的汤
yibaoshoushi 一包首饰
huansimilidi 桓斯弥利底
hangluliushu 航路留书
xunluliushu 循路留书
xingxiangsuipian 星象碎片
hengsuguo 恒素果
huaguan 花冠
weiyezhishi 惟耶之实
lanlanadehua 兰拉娜的花
lanlajiadehua 兰拉迦的花
wumingdehua 无名的花
lanbandudehua 兰般度的花
langongdidehua 兰贡迪的花
lannakuladehua 兰那库拉的花
lanbailijiadehua 兰百梨迦的花
lannajiadehua 兰纳迦的花
lannazhendehua 兰纳真的花
lanjialudehua 兰迦鲁的花
lanlizhedehua 兰利遮的花
lanyishedehua 兰伊舍的花
langaludehua 兰伽卢的花
xiongmeimendehua 兄妹们的花
caigezhedehua 采歌者的花
lanlilouyulannanshidehua 兰梨娄与兰难世的花
lanjianduodehua 兰犍多的花
guanyuniyulannaluodegushi 关于你与兰那罗的故事
jinjitiaozhengjihuatu 紧急调整计划图
zhuangmanquanshuidepingzi 装满泉水的瓶子
bingfengzhixindehuaban 冰封之心的花瓣
yifenzijiyoumeidebiji 一份字迹优美的笔记
yifengxin 一封信
jiashandiaokegongju 假山雕刻工具
xiaoxingchilun 小型齿轮
zhongxingchilun 中型齿轮
shidongchilun 始动齿轮
daxingchilun 大型齿轮
shuangcengchilun 双层齿轮
daxingshuangcengchilun 大型双层齿轮
lingdongchilun 零动齿轮
youyoushanshi 优悠山石
fuguangshanshi 浮光山石
pangushanshi 磐固山石
huoyuanshui 活源水
yihelingjian 一盒零件
yizhangzhitiao 一张纸条
bujian 部件
fayishideyanjiurizhineiye 法医室的研究日志内页
buzhilailidezhitiao 不知来历的纸条
laojiufahuangdebiji 老旧发黄的笔记
shenmilaixin 神秘来信
yifensihunengfangshuidebiji 一份似乎能防水的笔记
yuyinzhishi 余音之匙
fangcaidelaixin 方才的来信
chenxijiuzhuangdezhenpinputaozhi 晨曦酒庄的珍品葡萄汁
jinyoushilaimuningyedenitu 浸有史莱姆凝液的泥土
pianpianhuagenxidenitu 骗骗花根系的泥土
yinshidenitu 阴湿的泥土
xingguangninghe 星光凝核
xueshanbuji 雪山补给
suiyuyexunzhiqi 邃羽夜巡之契
wanjuzhuanyong 玩具专用
jushuohenfeiwodenitu 据说很肥沃的泥土
feiqideningchengnitu 废弃的凝成泥土
fengxingsuodexunrenweituo 奉行所的寻人委托
zhanyouhaiyandeyaoshi 沾有海盐的钥匙
tebiedeniaodan 特别的鸟蛋
tebiedemogu 特别的蘑菇
tebiedebohe 特别的薄荷
tebiedexiangxinguo 特别的香辛果
tebiedetiantianhua 特别的甜甜花
tinalidebiandanghe 提纳里的便当盒
geihaibaxiadexin 给海芭夏的信
lvxingzheshouzhibiandang 旅行者手制便当
tinalidejieshaoxin 提纳里的介绍信
jiaoyizijindai 交易资金袋
guanzhuangzhishibaoguo 罐装知识包裹
guanzhuangzhishidanshoujianzhandoujiqiao 罐装知识单手剑战斗技巧
goumaiqingbaodezijindai 购买情报的资金袋
jiaoyixianchanghuapian 交易现场画片
xianrenanhaobiao 线人暗号表
cuoweidehailuoyi 错位的海螺一
cuoweidehailuoer 错位的海螺二
cuoweidehailuosan 错位的海螺三
jiankangzhijiageiguergendechufangyao 健康之家给古尔根的处方药
jiankangzhijiageiaziladechufangyao 健康之家给阿兹拉的处方药
jiankangzhijiageiafutadechufangyao 健康之家给阿夫塔的处方药
xinxiandexiangxinguo 新鲜的香辛果
xinxiandedunduntao 新鲜的墩墩桃
ranhongdebuliao 染红的布料
zuihaohedeshui 最好喝的水
duyinhuaibiao 镀银怀表
laojiudehuiji 老旧的徽记
shalidebianqian 莎莉的便签
xinxiandeyuelian 新鲜的月莲
younendeqiangwei 幼嫩的蔷薇
yongshideyingyu 勇士的鹰羽
huaduohushenfu 花朵护身符
yuanchandidexinxianmogu 原产地的新鲜蘑菇
yichangdexumiqiangwei 异常的须弥蔷薇
xieyoumiyudezhitiao 写有谜语的纸条
lafeikedezaochuancailiao 拉菲克的造船材料
fenggandexiaohua 风干的小花
yijihuo 已激活
peierxikefudeshougao 佩尔西科夫的手稿
putongdemutou 普通的木头
yurenzhongdecanshi 愚人众的餐食
xiangdidecangbaotu 箱底的藏宝图
shanshuodelingjian 闪烁的零件
shengzhangshi 圣章石
jinqiangweizhongzi 金蔷薇种子
toumingyijidejilu 透明遗迹的记录
tunyangyandejilu 吞羊岩的记录
baoyinzhilingdejilu 饱饮之陵的记录
suoheerdekaogubiji 索赫尔的考古笔记
arudedaoyingdejilu 阿如的倒影的记录
muyejutuantuanzhangdeshougao 暮夜剧团团长的手稿
gangzhaixiadexiangxinguo 刚摘下的香辛果
meiyoushumingdezhitiao 没有署名的纸条
canpodejilu 残破的记录
zhongrongzhuangzhi 重熔装置
zhongrongpianji 重熔片剂
guzhudemingling 雇主的命令
huoyuansujingpian 火元素晶片
shuiyuansujingpian 水元素晶片
caoyuansujingpian 草元素晶片
dianyuansujingpian 电元素晶片
fengyuansujingpian 风元素晶片
bingyuansujingpian 冰元素晶片
yanyuansujingpian 岩元素晶片
yuanchuyuansujingpian 原初元素晶片
huochiqikaka 火炽奇卡卡
shuirunqikaka 水润奇卡卡
